id,kerajinan,warna,kesulitan,kategori,jenis_benang,ukuran_benang,link,gambar
189,Tas Cross Body,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 14, ""nama"": ""mudah""}, {""id"": 15, ""nama"": ""menengah""}]","[{""id"": 19, ""nama"": ""barang""}, {""id"": 25, ""nama"": ""tas""}]","[{""id"": 28, ""nama"": ""polyester""}]","[{""id"": 38, ""nama"": ""jumbo""}]",https://drive.google.com/file/d/1d4ySTO4VQAa6wQNclME1E1dROAMRPgen/view?usp=sharing,tas-cross-body.png
190,Tas Grit Stitch,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 14, ""nama"": ""mudah""}, {""id"": 15, ""nama"": ""menengah""}]","[{""id"": 19, ""nama"": ""barang""}, {""id"": 25, ""nama"": ""tas""}]","[{""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1Ws1sz9yXgcZzNz66GYusKn6rd8R3CgjT/view?usp=sharing,tas-grit-stitch.png
191,Tas Motif Bunga,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 16, ""nama"": ""sulit""}]","[{""id"": 19, ""nama"": ""barang""}, {""id"": 25, ""nama"": ""tas""}]","[{""id"": 30, ""nama"": ""akrilik""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1InAnPcTXXhj9v1F46A5-o1ku3mD_4wFU/view?usp=drive_link,tas-motif-bunga.png
192,Tatakan Calabria,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}, {""id"": 9, ""nama"": ""pink""}, {""id"": 10, ""nama"": ""ungu""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}, {""id"": 13, ""nama"": ""krem""}]","[{""id"": 14, ""nama"": ""mudah""}]","[{""id"": 19, ""nama"": ""barang""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1_Wqu3MCFdIlpafu6xp5G44eetqUHoFkz/view?usp=sharing,tatakan-calabria.png
193,Tatakan Sunburst,"[{""id"": 4, ""nama"": ""merah""}, {""id"": 5, ""nama"": ""jingga""}, {""id"": 6, ""nama"": ""kuning""}, {""id"": 7, ""nama"": ""hijau""}, {""id"": 8, ""nama"": ""biru""}]","[{""id"": 14, ""nama"": ""mudah""}, {""id"": 15, ""nama"": ""menengah""}]","[{""id"": 19, ""nama"": ""barang""}]","[{""id"": 30, ""nama"": ""akrilik""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1xHxSVOjVZFzH6PF5jepyVVMHoWTGyKz7/view?usp=sharing,tatakan-sunburst.png
194,Teh Celup,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 4, ""nama"": ""merah""}, {""id"": 11, ""nama"": ""coklat muda""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1w6aVsPiF9eK1nyiO3SpCiqFYiBISI_fE/view?usp=sharing,teh-celup.png
195,Telur Mata Sapi,"[{""id"": 1, ""nama"": ""putih""}, {""id"": 6, ""nama"": ""kuning""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1VgZ09bL7bM8BFSIWqPan0sJ4WaAnQT91/view?usp=sharing,telur-mata-sapi.png
196,Telur Robin,"[{""id"": 8, ""nama"": ""biru""}, {""id"": 11, ""nama"": ""coklat muda""}, {""id"": 12, ""nama"": ""coklat tua""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1gXwlyzylzswIhLefofzrruu5WDCn585u/view?usp=sharing,telur-robin.png
197,Terong,"[{""id"": 7, ""nama"": ""hijau""}, {""id"": 10, ""nama"": ""ungu""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1zZMn0qiEekHqdlNSTA_p4dawJ5zkeblA/view?usp=sharing,terong.png
198,Tikus,"[{""id"": 2, ""nama"": ""hitam""}, {""id"": 3, ""nama"": ""abu-abu""}]","[{""id"": 15, ""nama"": ""menengah""}]","[{""id"": 18, ""nama"": ""amigurumi""}]","[{""id"": 28, ""nama"": ""polyester""}, {""id"": 29, ""nama"": ""katun""}, {""id"": 30, ""nama"": ""akrilik""}, {""id"": 31, ""nama"": ""wol""}]","[{""id"": 35, ""nama"": ""medium""}]",https://drive.google.com/file/d/1_D40TCZ9pKUN93l6wY12inJ2dakoNv41/view?usp=sharing,tikus.png
